system:index,Date,District,Month,Year,.geo
2000_12_26_1,2000-12-26,Anuradhapura,12,2000,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2000_12_26_2,2000-12-26,Polonnaruwa,12,2000,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2000_12_26_3,2000-12-26,Matale,12,2000,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2000_12_26_4,2000-12-26,Monaragala,12,2000,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2001_01_01_0,2001-01-01,Jaffna,1,2001,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2001_01_01_1,2001-01-01,Anuradhapura,1,2001,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2001_01_01_2,2001-01-01,Polonnaruwa,1,2001,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2001_01_01_3,2001-01-01,Matale,1,2001,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2001_01_01_4,2001-01-01,Monaragala,1,2001,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2001_01_09_0,2001-01-09,Jaffna,1,2001,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2001_01_09_1,2001-01-09,Anuradhapura,1,2001,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2001_01_09_2,2001-01-09,Polonnaruwa,1,2001,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2001_01_09_3,2001-01-09,Matale,1,2001,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2001_01_09_4,2001-01-09,Monaragala,1,2001,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2001_01_17_0,2001-01-17,Jaffna,1,2001,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2001_01_17_1,2001-01-17,Anuradhapura,1,2001,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2001_01_17_2,2001-01-17,Polonnaruwa,1,2001,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2001_01_17_3,2001-01-17,Matale,1,2001,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2001_01_17_4,2001-01-17,Monaragala,1,2001,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2001_01_25_0,2001-01-25,Jaffna,1,2001,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2001_01_25_1,2001-01-25,Anuradhapura,1,2001,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2001_01_25_2,2001-01-25,Polonnaruwa,1,2001,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2001_01_25_3,2001-01-25,Matale,1,2001,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2001_01_25_4,2001-01-25,Monaragala,1,2001,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2001_02_02_0,2001-02-02,Jaffna,2,2001,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
2001_02_02_1,2001-02-02,Anuradhapura,2,2001,"{""type"":""Point"",""coordinates"":[80.4037,8.3114]}"
2001_02_02_2,2001-02-02,Polonnaruwa,2,2001,"{""type"":""Point"",""coordinates"":[81.0188,7.940300000000001]}"
2001_02_02_3,2001-02-02,Matale,2,2001,"{""type"":""Point"",""coordinates"":[80.6234,7.4675]}"
2001_02_02_4,2001-02-02,Monaragala,2,2001,"{""type"":""Point"",""coordinates"":[81.3507,6.872800000000001]}"
2001_02_10_0,2001-02-10,Jaffna,2,2001,"{""type"":""Point"",""coordinates"":[80.0255,9.661500000000002]}"
